Team,Year,Rank,T_Rank
Tufts,2006,12,T11
Swarthmore,2006,13,T13
Texas,2006,14,T13
Carleton,2006,15,T15
Delaware,2006,16,T15
Stanford,2007,1,1
UC Santa Barbara,2007,2,2
British Columbia,2007,3,T3
UCLA,2007,4,T3
California,2007,5,T5
Carleton,2007,6,T5
Northwestern,2007,7,T5
Wisconsin,2007,8,T5
UC San Diego,2007,9,T9
NYU,2007,10,T9
Delaware,2007,11,T11
Tufts,2007,12,T11
Florida,2007,13,T13
Truman State,2007,14,T13
Dartmouth,2007,15,T15
Emory,2007,16,T15
British Columbia,2008,1,1
UC Santa Barbara,2008,2,2
UCLA,2008,3,T3
Washington,2008,4,T3
Carleton,2008,5,T5
Michigan,2008,6,T5
Ottawa,2008,7,T5
Wisconsin,2008,8,T5
Northeastern,2008,9,T9
Texas,2008,10,T9
Maryland,2008,11,T11
Michigan State,2008,12,T11
Wake Forest,2008,13,T13
Oregon,2008,14,T13
MIT,2008,15,T15
North Carolina,2008,16,T15
UC Santa Barbara,2009,1,1
Washington,2009,2,2
Oregon,2009,3,T3
Stanford,2009,4,T3
Ottawa,2009,5,T5
Pennsylvania,2009,6,T5
UCLA,2009,7,T5
Wisconsin,2009,8,T5
Carleton,2009,9,T9
Michigan,2009,10,T9
North Carolina,2009,11,T11
North Carolina-Wilmington,2009,12,T11
Dartmouth,2009,13,T13
Saint Louis,2009,14,T13
Colorado,2009,15,T15
Iowa State,2009,16,T15
Northeastern,2009,17,T17
Washington University,2009,18,T17
Illinois,2009,19,T19
Southern California,2009,20,T19
Oregon,2010,1,1
UC Santa Barbara,2010,2,2
Colorado,2010,3,T3
Wisconsin,2010,4,T3
California,2010,5,T5
North Carolina- Wilmington,2010,6,T5
Southern California,2010,7,T5
UCLA,2010,8,T5
Pittsburgh,2010,9,T9
Washington,2010,10,T9
Carleton,2010,11,T11
Michigan,2010,12,T11
Stanford,2010,13,T13
North Carolina,2010,14,T13
Maryland,2010,15,T15
Washington University,2010,16,T15
Northwestern,2010,17,T17
Texas,2010,18,T17
Harvard,2010,19,T19
Middlebury,2010,20,T19
UC Santa Barbara,2011,1,1
Michigan,2011,2,2
Oregon,2011,3,T3
Stanford,2011,4,T3
Colorado College,2011,5,T5
Iowa,2011,6,T5
North Carolina,2011,7,T5
North Carolina- Wilmington,2011,8,T5
Washington,2011,9,9
Iowa State,2011,10,10
California,2011,11,11
Carleton,2011,12,12
Northwestern,2011,13,T13
Ottawa,2011,14,T13
Florida,2011,15,T15
Tufts,2011,16,T15
Ohio State,2011,17,T17
Washington University,2011,18,T17
British Columbia,2011,19,T19
Virginia,2011,20,T19
Washington,2012,1,1
Oregon,2012,2,2
Michigan,2012,3,T3
Tufts,2012,4,T3
Iowa,2012,5,T5
North Carolina,2012,6,T5
Ohio State,2012,7,T5
Texas,2012,8,T5
California,2012,9,9
Iowa State,2012,10,10
British Columbia,2012,11,11
UCLA,2012,12,12
Florida,2012,13,T13
Stanford,2012,14,T13
Sonoma State,2012,15,T15
Wisconsin,2012,16,T15
Humboldt State,2012,17,T17
Virginia,2012,18,T17
Delaware,2012,19,T19
Ottawa,2012,20,T19
Oregon,2013,1,1
Carleton,2013,2,2
Iowa,2013,3,T3
Ohio State,2013,4,T3
British Columbia,2013,5,T5
Tufts,2013,6,T5
Virginia,2013,7,T5
Washington,2013,8,T5
Iowa State,2013,9,T9
Minnesota,2013,10,T9
Northwestern,2013,11,T9
Wisconsin,2013,12,T9
UC Santa Barbara,2013,13,T13
Ottawa,2013,14,T13
Stanford,2013,15,T13
Whitman,2013,16,T13
Central Florida,2013,17,T17
Georgia,2013,18,T17
Northeastern,2013,19,T17
Texas,2013,20,T17
Ohio State,2014,1,1
Oregon,2014,2,2
Central Florida,2014,3,T3
Washington,2014,4,T3
British Columbia,2014,5,T5
Carleton,2014,6,T5
Michigan,2014,7,T5
Virginia,2014,8,T5
UC Santa Barbara,2014,9,T9
Colorado College,2014,10,T9
Tufts,2014,11,T9
UCLA,2014,12,T9
Colorado,2014,13,T13
Kansas,2014,14,T13
Stanford,2014,15,T13
Victoria,2014,16,T13
Cornell,2014,17,T17
Northeastern,2014,18,T17
Western Washington,2014,19,T17
Whitman,2014,20,T17
Oregon,2015,1,1
Stanford,2015,2,2.
British Columbia,2015,3,T3
Carleton,2015,4,T3
Colorado,2015,5,T5
Dartmouth,2015,6,T5
Virginia,2015,7,T5
Whitman,2015,8,T5
Florida State,2015,9,T9
Ohio State,2015,10,T9
Texas,2015,11,T9
Victoria,2015,12,T9
Central Florida,2015,13,T13
Princeton,2015,14,T13
UCLA,2015,15,T13
Washington,2015,16,T13
Kansas,2015,17,T17
Middlebury,2015,18,T17
Notre Dame,2015,19,T17
Pittsburgh,2015,20,T17
Stanford,2016,1,1
Whitman,2016,2,2
Oregon,2016,3,T3
Virginia,2016,4,T3
British Columbia,2016,5,T5
Colorado,2016,6,T5
Dartmouth,2016,7,T5
UCLA,2016,8,T5
Michigan,2016,9,T9
Texas,2016,10,T9
Washington,2016,11,T9
Wisconsin,2016,12,T9
California,2016,13,T13
Western Washington,2016,14,T13
Colorado College,2016,15,T13
Pittsburgh,2016,16,T13
Central Florida,2016,17,T17
Ohio State,2016,18,T17
Ottawa,2016,19,T17
Southern California,2016,20,T17
Dartmouth,2017,1,1
Texas,2017,2,2
British Columbia,2017,3,T3
Colorado,2017,4,T3
Oregon,2017,5,T5
Stanford,2017,6,T5
California,2017,7,T9
Carleton,2017,8,T9
Michigan,2017,9,T9
Notre Dame,2017,10,T9
UC San Diego,2017,11,T13
Delaware,2017,12,T13
North Carolina,2017,13,T13
Ohio State,2017,14,T13
Connecticut,2017,15,T17
Florida,2017,16,T17
Pittsburgh,2017,17,T17
Tufts,2017,18,T17
Dartmouth,2018,1,1
Colorado,2018,2,2
Pittsburgh,2018,3,T3
Stanford,2018,4,T3
British Columbia,2018,5,T5
North Carolina,2018,6,T5
Oregon,2018,7,T5
Texas,2018,8,T5
UC San Diego,2018,9,T9
Michigan,2018,10,T9
North Carolina State,2018,11,T9
Tufts,2018,12,T9
Carleton,2018,13,T13
Ohio State,2018,14,T13
West Chester,2018,15,T13
Western Washington,2018,16,T13
UC Santa Barbara,2018,17,T17
Cornell,2018,18,T17
Florida,2018,19,T17
Whitman,2018,20,T17
UC San Diego,2019,1,1
Dartmouth,2019,2,2
North Carolina,2019,3,T3
Ohio State,2019,4,T3
Carleton,2019,5,T5
Western Washington,2019,6,T5
UC Santa Barbara,2019,7,T5
Wisconsin,2019,8,T5
Georgia,2019,9,T9
