team,url,color
North Carolina,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/North Carolina.png,#000000
North Texas,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/North Texas.jpg,#228b22
Northeastern,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Northeastern.jpg,#d50232
Northwestern,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Northwestern.png,#4b0082
Notre Dame,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Notre Dame.jpg,#0c2340
Oberlin,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Oberlin.png,#ff1be1
Ohio State,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Ohio State.jpg,#ff0000
Ohio,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Ohio.jpeg,#305f20
Oregon State,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Oregon State.png,#ff7f00
Oregon,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Oregon.png,#154733
Ottawa,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Ottawa.png,#009966
Penn State,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Penn State.jpg,#0f2e50
Penn,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Penn.png,#706383
Pittsburgh,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Pittsburgh.png,#ffc800
Princeton,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Princeton.jpeg,#ff8000
Purdue,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Purdue.jpeg,#ffa500
Queen's,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Queen's.png,#eac633
Rice,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Rice.webp,#002e6c
Rutgers,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Rutgers.jpeg,#c10436
SUNY Albany,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/SUNY Albany.jpeg,#442473
SUNY Binghamton,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/SUNY Binghamton.jpeg,#006670
SUNY Purchase,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/SUNY Purchase.png,#fc7c2c
SW Missouri State,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/SW Missouri State.png,#b0083b
Saint Louis,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Saint Louis.jpeg,#5171fe
Salisbury,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Salisbury.jpeg,#feb719
Southern California,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Southern California.jpg,#990033
Stanford,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Stanford.png,#800000
Swarthmore,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Swarthmore.png,#7198cd
Syracuse,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Syracuse.png,#f46e27
Texas A&M,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Texas A&M.jpg,#500000
Texas State,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Texas State.jpg,#ab1f2e
Texas,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Texas.jpg,#ff7f00
Tufts,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Tufts.png,#93c6f6
Tulane,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Tulane.jpeg,#205746
UC Davis,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/UC Davis.jpeg,#e5c539
UCLA,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/UCLA.jpg,#0000ff
UT Dallas,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/UT Dallas.png,#0060ff
Utah State,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Utah State.jpeg,#2b3775
Utah,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Utah.jpg,#ff0000
Vermont,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Vermont.jpg,#005834
Victoria,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Victoria.jpg,#155eae
Virginia,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Virginia.jpg,#ec6736
Virginia Tech,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Virginia Tech.jpeg,#1aa44b
WashU,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/WashU.jpg,#ff0000
Washington,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Washington.jpg,#4b0082
Wesleyan,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Wesleyan.png,#f2002c
Western Washington,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Western Washington.jpg,#a8915b
Whitman,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Whitman.jpg,#3d4da2
Williams,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Williams.jpg,#6415c1
William & Mary,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/William & Mary.jpg,#0c5c32
Wisconsin,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Wisconsin.jpg,#89cff0
Wisconsin-Milwaukee,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Wisconsin-Milwaukee.jpg,#000000
Winona State,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Winona State.jpg,#622f8c
Yale,https://raw.githubusercontent.com/elistandard/ultimateDynasties/main/logos/Yale.png,#003061
