Team,Year,Rank,T_Rank
Michigan,2002,6,T5
UNC Wilmington,2002,7,T5
Tufts,2002,8,T5
Cornell,2002,9,T9
Illinois,2002,10,T9
UC Santa Cruz,2002,11,T11
Colorado,2002,12,T11
Iowa,2002,13,T13
Swarthmore,2002,14,T13
George Washington,2002,15,T15
Texas,2002,16,T15
Wisconsin,2003,1,1
Oregon,2003,2,2
Carleton,2003,3,T3
Colorado,2003,4,T3
Brown,2003,5,T5
Texas,2003,6,T5
William & Mary,2003,7,T5
Illinois,2003,8,T5
Georgia,2003,9,T9
Michigan,2003,10,T9
NC State,2003,11,T11
Penn State,2003,12,T11
Ohio State,2003,13,13
Penn,2003,14,14
Dartmouth,2003,15,15
Williams,2003,16,16
Colorado,2004,1,1
California,2004,2,2
Brown,2004,3,T3
Stanford,2004,4,T3
UC San Diego,2004,5,T5
Iowa,2004,6,T5
NC State,2004,7,T5
Wisconsin,2004,8,T5
Carleton,2004,9,T9
Tufts,2004,10,T9
George Washington,2004,11,T11
William & Mary,2004,12,T11
Michigan State,2004,13,13
Illinois,2004,14,14
Delaware,2004,15,15
Kansas,2004,16,16
Brown,2005,1,1
Colorado,2005,2,2
UC San Diego,2005,3,T3
Stanford,2005,4,T3
Georgia,2005,5,T5
Texas,2005,6,T5
Washington,2005,7,T5
Wisconsin,2005,8,T5
Michigan,2005,9,T9
Michigan State,2005,10,T9
Carleton,2005,11,T11
Harvard,2005,12,T11
British Columbia,2005,13,T13
Pittsburgh,2005,14,T13
North Carolina,2005,15,T15
Queen's,2005,16,T15
Florida,2006,1,1
Wisconsin,2006,2,2
Georgia,2006,3,T3
Stanford,2006,4,T3
UC San Diego,2006,5,T5
Colorado,2006,6,T5
Oregon,2006,7,T5
Texas,2006,8,T5
Michigan,2006,9,T9
Michigan State,2006,10,T9
UC Santa Barbara,2006,11,T11
Kansas,2006,12,T11
Harvard,2006,13,T13
Pittsburgh,2006,14,T13
Brown,2006,15,T15
Delaware,2006,16,T15
Wisconsin,2007,1,1
Colorado,2007,2,2
Florida,2007,3,T3
Stanford,2007,4,T3
Carleton,2007,5,T5
Georgia,2007,6,T5
Oregon,2007,7,T5
Texas,2007,8,T5
Ohio State,2007,9,T9
Pittsburgh,2007,10,T9
Brown,2007,11,T11
Indiana,2007,12,T11
North Carolina,2007,13,T13
Williams,2007,14,T13
Delaware,2007,15,T15
Kansas,2007,16,T15
Wisconsin,2008,1,1
Florida,2008,2,2
Carleton,2008,3,T3
Colorado,2008,4,T3
Arizona,2008,5,T5
Georgia,2008,6,T5
Harvard,2008,7,T5
Illinois,2008,8,T5
UC Santa Cruz,2008,9,T9
Stanford,2008,10,T9
Pittsburgh,2008,11,T11
Texas,2008,12,T11
Dartmouth,2008,13,T13
Michigan,2008,14,T13
Delaware,2008,15,T15
North Texas,2008,16,T15
Carleton,2009,1,1
Colorado,2009,2,2
Stanford,2009,3,T3
Texas,2009,4,T3
Michigan,2009,5,T5
Pittsburgh,2009,6,T5
Virginia,2009,7,T5
Wisconsin,2009,8,T5
Cornell,2009,9,T9
Williams,2009,10,T9
Luther,2009,11,T11
Tufts,2009,12,T11
UC San Diego,2009,13,T13
Minnesota,2009,14,T13
UC Santa Barbara,2009,15,T15
NC State,2009,16,T15
Illinois,2009,17,T17
Kansas,2009,18,T17
California,2009,19,T19
Georgia,2009,20,T19
Florida,2010,1,1
Carleton,2010,2,2
