Team,Time,Rank,Year
Wisconsin,20,1,2003
Oregon,20,2,2003
Carleton,20,3,2003
Colorado,20,4,2003
Brown,20,5,2003
Texas,20,6,2003
William & Mary,20,7,2003
Illinois,20,8,2003
Georgia,20,9,2003
Michigan,20,10,2003
NC State,20,11,2003
Penn State,20,12,2003
Ohio State,20,13,2003
Penn,20,14,2003
Dartmouth,20,15,2003
Williams,20,16,2003
Colorado,21,1,2004
California,21,2,2004
Brown,21,3,2004
Stanford,21,4,2004
UC San Diego,21,5,2004
Iowa,21,6,2004
NC State,21,7,2004
Wisconsin,21,8,2004
Carleton,21,9,2004
Tufts,21,10,2004
George Washington,21,11,2004
William & Mary,21,12,2004
Michigan State,21,13,2004
Illinois,21,14,2004
Delaware,21,15,2004
Kansas,21,16,2004
Brown,22,1,2005
Colorado,22,2,2005
UC San Diego,22,3,2005
Stanford,22,4,2005
Georgia,22,5,2005
Texas,22,6,2005
Washington,22,7,2005
Wisconsin,22,8,2005
Michigan,22,9,2005
Michigan State,22,10,2005
Carleton,22,11,2005
Harvard,22,12,2005
British Columbia,22,13,2005
Pittsburgh,22,14,2005
North Carolina,22,15,2005
Queen's,22,16,2005
Florida,23,1,2006
Wisconsin,23,2,2006
Georgia,23,3,2006
Stanford,23,4,2006
UC San Diego,23,5,2006
Colorado,23,6,2006
Oregon,23,7,2006
Texas,23,8,2006
Michigan,23,9,2006
Michigan State,23,10,2006
UC Santa Barbara,23,11,2006
Kansas,23,12,2006
Harvard,23,13,2006
Pittsburgh,23,14,2006
Brown,23,15,2006
Delaware,23,16,2006
Wisconsin,24,1,2007
Colorado,24,2,2007
Florida,24,3,2007
Stanford,24,4,2007
Carleton,24,5,2007
Georgia,24,6,2007
Oregon,24,7,2007
Texas,24,8,2007
Ohio State,24,9,2007
Pittsburgh,24,10,2007
Brown,24,11,2007
Indiana,24,12,2007
North Carolina,24,13,2007
Williams,24,14,2007
Delaware,24,15,2007
Kansas,24,16,2007
Wisconsin,25,1,2008
Florida,25,2,2008
Carleton,25,3,2008
Colorado,25,4,2008
Arizona,25,5,2008
Georgia,25,6,2008
Harvard,25,7,2008
Illinois,25,8,2008
UC Santa Cruz,25,9,2008
Stanford,25,10,2008
Pittsburgh,25,11,2008
Texas,25,12,2008
Dartmouth,25,13,2008
Michigan,25,14,2008
Delaware,25,15,2008
North Texas,25,16,2008
Carleton,26,1,2009
Colorado,26,2,2009
Stanford,26,3,2009
Texas,26,4,2009
Michigan,26,5,2009
Pittsburgh,26,6,2009
Virginia,26,7,2009
Wisconsin,26,8,2009
Cornell,26,9,2009
Williams,26,10,2009
Luther,26,11,2009
Tufts,26,12,2009
UC San Diego,26,13,2009
Minnesota,26,14,2009
UC Santa Barbara,26,15,2009
NC State,26,16,2009
Illinois,26,17,2009
Kansas,26,18,2009
California,26,19,2009
Georgia,26,20,2009
Florida,27,1,2010
Carleton,27,2,2010
Cornell,27,3,2010
Pittsburgh,27,4,2010
California,27,5,2010
Michigan,27,6,2010
Minnesota,27,7,2010
UNC Wilmington,27,8,2010
UC Santa Barbara,27,9,2010
